Id,Word,Transcription
1,KNOXVILLE,N AA K S V IH L
2,MOVIEGOING,M UW V IY G OW IH NG
3,PHOTOSYNTHESIS,F OW T OW S IH N TH AH S IH S
4,DELIO,D EY L IY OW
5,SWIVELED,S W IH V AH L D
6,VANLIEW,V AE N L IY UW
7,LINDEMAN,L IH N D M AH N
8,BARGER,B AA R JH ER
9,HINKSON,HH IH NG K S AH N
10,DUET,D Y UW EH T
11,RADY,R EY D IY
12,EXOGENOUS,EH K S OW JH AH N AH S
13,LAAKE,L AA K
14,WELLNER,W EH L N ER
15,MAROTTE,M ER AO T
16,FINDERS,F AY N D ER Z
17,FEDERATIVE,F EH D R AH T IH V
18,AY,EY
19,FRUSTRATINGLY,F R AH S T R EY T IH NG L IY
20,PIP,P IH P
21,MINE,M AY N
22,ELVY,EH L V IY
23,RITGER,R IH T G ER
24,CORTEX,K AO R T EH K S
25,INTEGRATE,IH N T AH G R EY T
26,RELATIVES,R EH L AH T IH V Z
27,RAND'S,R AE N D Z
28,DEJA,D EY ZH AA
29,WALK,W AO K
30,OLIVEIRA,AA L IH V EY R AH
31,DUBININ,D UW B IH N IH N
32,SPETH,S P EH TH
33,SAMURAIS,S AE M ER IH Z
34,MATCHLOCKS,M AE CH L AA K S
35,TURIN,T Y UH R IH N
36,DOMINATES,D AA M AH N EY T S
37,ANGSTADT,AE NG SH T AE T
38,ZOLP,Z OW L P
39,SCRIPTED,S K R IH P T IH D
40,BANERJEE,B AH N ER JH IY
41,INFLAMMABLE,IH N F L AE M AH B AH L
42,TONDREAU,T AH N D R OW
43,FACTEAU,F AH K T OW
44,GOYER,G OY ER
45,WANTA,W AA N T AH
46,GALLET,G AE L IH T
47,LAUD,L AO D
48,ALIHAN,AE L IH HH AE N
49,ZLATA'S,Z L AA T AH Z
50,GERWIN,G ER W IH N
51,MISQUOTING,M IH S K W OW T IH NG
52,SMALLNESS,S M AO L N AH S
53,STATHOPOULOS,S T AH TH AA P AH L IH S
54,WASHINGTONIAN,W AA SH IH NG T OW N IY AH N
55,POLARIZER,P OW L ER AY Z ER
56,OUTWITS,AW T W IH T S
57,ANIMOSITY,AE N AH M AA S AH T IY
58,COLLECTIVES,K AH L EH K T IH V Z
59,ARMENTROUT,AA R M AH N T R AW T
60,BESS,B EH S
61,COUNIHAN,K AW N IH HH AE N
62,FAILURES,F EY L Y ER Z
63,KURLAK,K ER L AE K
64,VERBENA,V ER B IY N AH
65,KNOTT,N AA T
66,MARSISA'S,M AA R S IH S AH Z
67,BARRET,B AE R IH T
68,REENACTMENT,R IY IH N AE K T M AH N T
69,MINELLA,M IH N EH L AH
70,DEPARTMENTALIZED,D IH P AA R T M EH N T AH L AY Z D
71,VALASEK,V AH L AA S EH K
72,WOJDYLA,W OY D IH L AH
73,PUSTEJOVSKY,P AH S T EY AA V S K IY
74,PIPES,P AY P S
75,BAILY,B EY L IY
76,HEIMBERGER,HH AY M B ER G ER
77,UNDOCK,AH N D AA K
78,KORY,K AO R IY
79,PEPPIN,P EH P IH N
80,BLANCHFIELD,B L AE N CH F IY L D
81,NOTIS,N OW T IH S
82,ANNOYING,AH N OY IH NG
83,STOOKSBURY,S T UW K S B EH R IY
